63

0   V0, pass 1,  phi<0.01
  L1 L2 L3 mod2 mod br3 br gap totGap stopped nL stopV      t1      T1    phi2    Phi2      T2    Pt2    Pt3
   0  1 -1    0   0   1  1   0      0       0  2     6    0.00   31.39  0.0000  0.0100   26.46  0.000  0.000
 id V L        phi        T        V       UZ      Vms     UZms
 28 5 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 29 5 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 30 5 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 31 5 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 32 5 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 33 5 5   0.000210   0.0258   0.0089   0.0240   0.0089   0.0240
 34 6 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 35 6 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 36 7 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 37 7 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 38 7 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 39 7 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 40 7 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 41 7 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 42 8 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 43 8 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 44 8 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 45 8 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 46 8 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 47 8 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000

54  V0 Ideal,  phi any 
  L1 L2 L3 mod2 mod br3 br gap totGap stopped nL stopV      t1      T1    phi2    Phi2      T2    Pt2    Pt3
   0  1 -1    1   0   1  1   1      1       1  2     3    0.91   18.78  0.1000  0.4000   21.28  1.000  0.166
 id V L        phi        T        V       UZ      Vms     UZms
  0 0 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  1 0 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  2 0 2   0.061930   0.2525   0.7185   0.1664   0.7185   0.1664
  3 0 3   0.006400   0.1246   0.0781   0.0919   0.0781   0.0919
  4 1 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  5 1 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  6 1 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  7 1 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  8 1 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  9 1 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 10 1 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 11 2 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 12 2 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 13 2 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 14 2 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 15 2 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 16 2 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 17 2 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 18 3 0   0.011830   0.1098   0.3315   0.1103   0.3315   0.1103
 19 3 1   0.015040   0.4302   0.5308   0.2394   0.5308   0.5504
 20 3 2   0.007680   0.2204   0.2892   0.2153   0.2892   0.2153
 21 3 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 22 4 0   0.003340   0.0141   0.1439   0.0142   0.1439   0.0142
 23 4 1   0.003410   0.4182   0.1429   0.4359   0.1429   0.4359
 24 4 2   0.001360   0.0445   0.0482   0.0595   0.0482   0.0595
 25 4 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 26 4 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 27 4 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 28 5 0   0.003050   0.4891   0.0000   0.0000   0.0530   0.6357
 29 5 1   0.011990   0.6881   0.2551   0.9283   0.2551   0.9283
 30 5 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 31 5 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 32 5 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 33 5 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 34 6 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 35 6 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 36 7 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 37 7 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 38 7 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 39 7 3   0.017350   0.6383   0.6023   1.1757   0.6023   1.1757
 40 7 4   0.024240   1.8657   0.2269   2.2866   0.2269   2.2866
 41 7 5   0.019190   1.3931   0.7942   2.1298   0.7942   2.1298
 42 8 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 43 8 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 44 8 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 45 8 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 46 8 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 47 8 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 id V L        phi        T        V       UZ      Vms     UZms
  0 0 0   0.019230   0.4097   0.0117   0.0057   0.0117   0.0057
  1 0 1   0.003540   0.1544   0.0144   0.0017   0.0144   0.0017
  2 0 2   0.004450   0.1052   0.0027   0.0022   0.0027   0.0022
  3 0 3   0.003750   0.0262   0.0023   0.0003   0.0023   0.0003
  4 1 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  5 1 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  6 1 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  7 1 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  8 1 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  9 1 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 10 1 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 11 2 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 12 2 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 13 2 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 14 2 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 15 2 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 16 2 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 17 2 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 18 3 0   0.004620   0.1083   0.0015   0.0395   0.0015   0.0395
 19 3 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 20 3 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 21 3 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 22 4 0   0.001260   0.0465   0.0165   0.0418   0.0165   0.0418
 23 4 1   0.001160   0.0149   0.0011   0.0092   0.0011   0.0092
 24 4 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 25 4 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 26 4 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 27 4 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 28 5 0   0.002190   0.1269   0.0000   0.0000   0.0403   0.0810
 29 5 1   0.002150   0.0320   0.0224   0.0140   0.0224   0.0140
 30 5 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 31 5 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 32 5 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 33 5 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 34 6 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 35 6 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 36 7 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 37 7 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 38 7 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 39 7 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 40 7 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 41 7 5   0.001950   0.2405   0.1322   0.1393   0.1322   0.1393
 42 8 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 43 8 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 44 8 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 45 8 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 46 8 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 47 8 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000

55  V0 L1+2 Ideal,  phi any
  L1 L2 L3 mod2 mod br3 br gap totGap stopped nL stopV      t1      T1    phi2    Phi2      T2    Pt2    Pt3
   1  2 -1    1   0   1  1   1      1       1  2     3    0.30   29.70  0.0000  0.3089   10.97  1.000  0.172
 id V L        phi        T        V       UZ      Vms     UZms
  0 0 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  1 0 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  2 0 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  3 0 3   0.062690   0.5045   1.0780   0.2471   1.0780   0.2471
  4 1 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  5 1 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  6 1 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  7 1 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  8 1 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  9 1 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 10 1 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 11 2 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 12 2 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 13 2 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 14 2 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 15 2 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 16 2 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 17 2 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 18 3 0   0.123080   0.6273   3.1856   1.0851   3.1856   1.0851
 19 3 1   0.010880   0.3582   0.1486   0.4066   0.1486   0.4066
 20 3 2   0.013970   0.4245   0.6422   0.4175   0.6422   0.4175
 21 3 3   0.006180   0.2888   0.2048   0.2873   0.2048   0.2873
 22 4 0   0.002780   0.0590   0.0288   0.0596   0.0288   0.0596
 23 4 1   0.000940   0.0037   0.0917   0.0314   0.0917   0.0314
 24 4 2   0.001530   0.1577   0.0002   0.1858   0.0002   0.1858
 25 4 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 26 4 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 27 4 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 28 5 0   0.012300   0.0860   0.0159   0.0319   0.4801   0.0319
 29 5 1   0.004080   0.2697   0.0355   0.3271   0.0355   0.3271
 30 5 2   0.001060   0.0700   0.0000   0.0000   0.0963   0.0951
 31 5 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 32 5 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 33 5 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 34 6 0   0.004980   0.4689   0.1659   0.4928   0.1659   0.4928
 35 6 1   0.004690   0.3998   0.3405   0.2913   0.3405   0.2913
 36 7 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 37 7 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 38 7 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 39 7 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 40 7 4   0.017780   1.4575   0.3737   2.3735   0.3737   2.3735
 41 7 5   0.021230   2.5092   0.3189   3.2001   0.3189   3.2001
 42 8 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 43 8 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 44 8 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 45 8 3   0.018120   0.0934   0.3833   0.9417   0.3833   0.9417
 46 8 4   0.003130   1.1265   0.0414   1.1709   0.0414   1.1709
 47 8 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 id V L        phi        T        V       UZ      Vms     UZms
  0 0 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  1 0 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  2 0 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  3 0 3   0.003240   0.1074   0.0027   0.0023   0.0027   0.0023
  4 1 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  5 1 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  6 1 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  7 1 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  8 1 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  9 1 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 10 1 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 11 2 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 12 2 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 13 2 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 14 2 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 15 2 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 16 2 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 17 2 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 18 3 0   0.004170   0.4272   0.0016   0.0357   0.0016   0.0357
 19 3 1   0.012400   0.2530   0.0054   0.0686   0.0054   0.0686
 20 3 2   0.015110   0.4461   0.0133   0.0554   0.0133   0.0554
 21 3 3   0.006910   0.0952   0.0042   0.0452   0.0042   0.0452
 22 4 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 23 4 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 24 4 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 25 4 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 26 4 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 27 4 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 28 5 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 29 5 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 30 5 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 31 5 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 32 5 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 33 5 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 34 6 0   0.002070   0.3900   0.0049   0.3489   0.0049   0.3489
 35 6 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 36 7 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 37 7 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 38 7 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 39 7 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 40 7 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 41 7 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 42 8 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 43 8 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 44 8 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 45 8 3   0.000110   0.1005   0.0020   0.1031   0.0020   0.1031
 46 8 4   0.000540   0.1208   0.0008   0.1060   0.0008   0.1060
 47 8 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000

56  V0 L2+3 Ideal,  phi any
  L1 L2 L3 mod2 mod br3 br gap totGap stopped nL stopV      t1      T1    phi2    Phi2      T2    Pt2    Pt3
   2  3 -1    1   0   1  1   1      1       1  2     3    0.15   30.87  0.0000  0.2193    7.72  1.000  0.157
 id V L        phi        T        V       UZ      Vms     UZms
  0 0 0   1.136210   3.9784   0.0000   0.0000   2.0970   0.4417
  1 0 1   0.000010   0.0001   0.0000   0.0000   0.0000   0.0000
  2 0 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  3 0 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  4 1 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  5 1 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  6 1 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  7 1 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  8 1 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  9 1 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 10 1 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 11 2 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 12 2 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 13 2 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 14 2 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 15 2 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 16 2 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 17 2 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 18 3 0   0.111850   0.9816   2.8899   0.5457   2.8899   0.5457
 19 3 1   0.025220   0.9206   0.4120   0.8600   0.8906   0.8600
 20 3 2   0.065910   1.8872   3.0957   1.8089   3.0957   1.8089
 21 3 3   0.014890   0.5680   0.6446   0.4818   0.6446   0.4818
 22 4 0   0.013980   0.1522   0.6361   0.4465   0.6361   0.4465
 23 4 1   0.003830   0.1739   0.0940   0.2404   0.0940   0.2404
 24 4 2   0.005870   0.1130   0.2257   0.2989   0.2257   0.2989
 25 4 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 26 4 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 27 4 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 28 5 0   0.007920   0.2478   0.1704   0.4849   0.1704   0.4849
 29 5 1   0.012040   0.3685   0.3671   0.6794   0.3671   0.6794
 30 5 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 31 5 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 32 5 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 33 5 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 34 6 0   0.007110   1.0092   0.2105   0.8393   0.2105   0.8393
 35 6 1   0.005180   0.9345   0.7675   0.8237   0.7675   0.8237
 36 7 0   0.001780   0.9560   0.0765   0.9653   0.0765   0.9653
 37 7 1   0.001780   0.3896   0.1248   0.3937   0.1248   0.3937
 38 7 2   0.004310   0.9313   0.2488   0.9541   0.2488   0.9541
 39 7 3   0.020350   0.8604   0.6242   1.7048   0.6242   1.7048
 40 7 4   0.041050   3.2922   1.4495   5.6600   1.4495   5.6600
 41 7 5   0.025800   0.7876   1.3939   1.9533   1.3939   1.9533
 42 8 0   0.003590   0.6608   0.5615   0.6738   0.5615   0.6738
 43 8 1   0.002300   0.1894   0.1787   0.1488   0.1787   0.1488
 44 8 2   0.002370   1.0064   0.2697   0.9892   0.2697   0.9892
 45 8 3   0.000610   0.7552   0.1034   0.7666   0.1034   0.7666
 46 8 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 47 8 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 id V L        phi        T        V       UZ      Vms     UZms
  0 0 0   0.020360   0.5406   0.0000   0.0000   0.0020   0.0032
  1 0 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  2 0 2   0.000960   0.0704   0.0005   0.0005   0.0005   0.0005
  3 0 3   0.003520   0.1263   0.0201   0.0023   0.0201   0.0023
  4 1 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  5 1 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  6 1 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  7 1 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  8 1 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  9 1 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 10 1 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 11 2 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 12 2 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 13 2 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 14 2 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 15 2 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 16 2 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 17 2 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 18 3 0   0.009610   0.3119   0.0180   0.0529   0.0180   0.0529
 19 3 1   0.012540   0.2960   0.0073   0.0652   0.0073   0.0652
 20 3 2   0.024680   0.8416   0.0236   0.0770   0.0236   0.0770
 21 3 3   0.001960   0.0495   0.0022   0.0127   0.0022   0.0127
 22 4 0   0.003540   0.0312   0.0767   0.0463   0.0767   0.0463
 23 4 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 24 4 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 25 4 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 26 4 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 27 4 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 28 5 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 29 5 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 30 5 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 31 5 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 32 5 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 33 5 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 34 6 0   0.005930   0.9225   0.0047   0.8004   0.0047   0.8004
 35 6 1   0.003980   0.7863   0.0018   0.7936   0.0018   0.7936
 36 7 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 37 7 1   0.007870   0.8582   0.4518   0.4028   0.4518   0.4028
 38 7 2   0.002410   0.6404   0.2925   0.6288   0.2925   0.6288
 39 7 3   0.001480   0.0491   0.0542   0.0174   0.0542   0.0174
 40 7 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 41 7 5   0.000980   0.2819   0.0897   0.2136   0.0897   0.2136
 42 8 0   0.008680   0.1383   0.2519   0.2574   0.2519   0.2574
 43 8 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 44 8 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 45 8 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 46 8 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 47 8 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000

57  V0L3+V3L0 Ideal,  phi any
  L1 L2 L3 mod2 mod br3 br gap totGap stopped nL stopV      t1      T1    phi2    Phi2      T2    Pt2    Pt3
   3 18 -1    1   0   1  1   1      1       1  2     3    5.18   47.39  0.0000  0.1703   11.55  1.000  0.161
 id V L        phi        T        V       UZ      Vms     UZms
  0 0 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  1 0 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  2 0 2   0.037700   0.1105   0.4409   0.0028   0.4409   0.0028
  3 0 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  4 1 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  5 1 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  6 1 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  7 1 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  8 1 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
  9 1 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 10 1 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 11 2 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 12 2 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 13 2 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 14 2 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 15 2 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 16 2 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 17 2 6   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 18 3 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 19 3 1   0.135850   2.5406   4.8269   1.3774   4.8269   1.3774
 20 3 2   0.059670   0.5852   0.9598   0.4867   2.9621   0.4867
 21 3 3   0.010270   0.2254   0.5608   0.1574   0.5608   0.2900
 22 4 0   0.005240   0.3740   0.0177   0.2238   0.0177   0.2238
 23 4 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 24 4 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 25 4 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 26 4 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 27 4 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 28 5 0   0.119670   1.5747   0.1899   0.6162   4.8118   1.0156
 29 5 1   0.001250   0.2063   0.1101   0.2215   0.1101   0.2215
 30 5 2   0.000350   0.1595   0.0180   0.1583   0.0180   0.1583
 31 5 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 32 5 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 33 5 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 34 6 0   0.001190   0.3588   0.2491   0.3673   0.2491   0.3673
 35 6 1   0.007100   0.9114   0.3288   0.8908   0.4225   0.8908
 36 7 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 37 7 1   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 38 7 2   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 39 7 3   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 40 7 4   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 41 7 5   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 42 8 0   0.000000   0.0000   0.0000   0.0000   0.0000   0.0000
 43 8 1   0.009980   0.7903   0.6033   1.0212   0.6033   1.0212
 44 8 2   0.017920   0.6992   0.3688   0.6825   0.6183   1.0134
 45 8 3   0.008040   1.9982   0.2473   2.1798   0.2473   2.1798
